V1,
3D Printing,3D Printing: In 3D12
Ablation,Ablation: Sự cắt bỏ7 10 19
Abrasion,Abrasion: Sự mài mòn4 8 14 20 23
Absorption (EM radiation),Absorption (EM radiation): Sự hấp thụ (bức xạ điện từ)5
Absorption (physical),Absorption (physical): Sự hấp thụ (vật lý)
Absorption Spectroscopy,Absorption Spectroscopy: Quang phổ hấp thụ
Absorptive Filter,Absorptive Filter: Bộ lọc hấp thụ
Accelerometer,Accelerometer: Cảm biến gia tốc
Accumulator (energy),Accumulator (energy): Bình tích điện
Acoustic Absorption,Acoustic Absorption: Sự hấp thụ âm thanh
Acoustic Cavitation,Acoustic Cavitation: Sự cavitation âm thanh
Acoustic Emission,Acoustic Emission: Phát xạ âm thanh
Acoustic Lens,Acoustic Lens: Thấu kính âm thanh
Acoustic Levitation,Acoustic Levitation: Sự lơ lửng âm thanh
Acoustic Lubrication,Acoustic Lubrication: Bôi trơn âm thanh
Acoustic Microscopy,Acoustic Microscopy: Viễn kính âm thanh
Acoustic Radiation Pressure,Acoustic Radiation Pressure: Áp suất bức xạ âm thanh
Acoustic Tweezers,Acoustic Tweezers: Nhíp âm thanh
Acoustics,Acoustics: Âm học
Acousto-optic Effect,Acousto-optic Effect: Hiệu ứng âm quang
Activated Alumina,Activated Alumina: Nhôm oxit hoạt hóa6 14 17 23
Activated Carbon,Activated Carbon: Than hoạt tính3 7 11 15 18 21 24
Added Mass,Added Mass: Khối lượng thêm4 8 16
Adhesive,Adhesive: Chất dính5 9 13
Adiabatic Cooling,Adiabatic Cooling: Làm lạnh đoạn nhiệt1
Adiabatic Heating,Adiabatic Heating: Làm nóng đoạn nhiệt1
Adsorption,Adsorption: Sự hấp phụ1
Adsorption Refrigerator,Adsorption Refrigerator: Tủ lạnh hấp phụ1
Advection,Advection: Sự advection1
Aeolipile,Aeolipile: Máy phun hơi nước Aeolipile1
Aeration,Aeration: Sự thông gió1
Aerobic Digestion,Aerobic Digestion: Tiêu hóa hiếu khí1
Aerodynamic Heating,Aerodynamic Heating: Sự nóng lên do động lực học không khí1
Aeroelastic Flutter,Aeroelastic Flutter: Dao động cơ học không khí1
Aerofoil,Aerofoil: Cánh máy bay1
